id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count,year,month,day,hour
2267054,Дорожно-транспортные происшествия,Наезд на пешехода,Самарская область,49.275,53.529167,2015-02-04 15:45:00,Светлое время суток,Пасмурно,"Обработанное противогололедными материалами, Недостатки зимнего содержания",2,"Пешеходы, Все участники",Тяжёлый,0,1,2015,2,4,15
1570660,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Наезд на пешехода,Москва,37.658,55.866,2017-10-24 15:50:00,Светлое время суток,Пасмурно,Сухое,2,"Пешеходы, Дети, Все участники",С погибшими,1,0,2017,10,24,15
2085515,Дорожно-транспортные происшествия,Наезд на пешехода,Ивановская область,41.036413,56.993871,2018-01-30 14:50:00,Светлое время суток,Снегопад,Заснеженное,2,"Пешеходы, Все участники",Легкий,0,1,2018,1,30,14
2866824,Дорожно-транспортные происшествия,Наезд на пешехода,Приморский край,131.953225,43.147724,2023-07-28 05:15:00,Светлое время суток,Ясно,Сухое,2,"Пешеходы, Все участники",С погибшими,1,0,2023,7,28,5
1798638,Дорожно-транспортные происшествия,Падение пассажира,Тюменская область,65.591726,57.116579,2019-09-20 10:00:00,Светлое время суток,Ясно,Сухое,2,Все участники,Легкий,0,1,2019,9,20,10
2104163,Дорожно-транспортные происшествия,Падение пассажира,Владимирская область,40.407962,56.141706,2019-11-29 13:10:00,Светлое время суток,Пасмурно,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,Все участники,Легкий,0,1,2019,11,29,13
2946566,Дорожно-транспортные происшествия,Наезд на пешехода,Московская область,37.563082,55.473503,2024-02-29 23:29:00,"В темное время суток, освещение включено",Пасмурно,"Обработанное противогололедными материалами, Недостатки зимнего содержания, Отсутствие дорожных знаков в необходимых местах, Отсутствие пешеходных ограждений в необходимых местах",2,"Пешеходы, Все участники",С погибшими,1,0,2024,2,29,23
1575301,Дорожно-транспортные происшествия,Столкновение,Москва,37.5355,55.7751,2016-06-23 23:26:00,"В темное время суток, освещение включено",Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Мотоциклисты, Все участники",Тяжёлый,0,1,2016,6,23,23
1923769,Дорожно-транспортные происшествия,Столкновение,Санкт-Петербург,30.342103,59.946602,2020-08-25 17:30:00,Светлое время суток,Ясно,"Сухое, Неправильное применение, плохая видимость дорожных знаков",3,Все участники,Легкий,0,1,2020,8,25,17
1586153,Дорожно-транспортные происшествия,Опрокидывание,Белгородская область,37.0253,50.4983,2016-09-23 15:10:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,Все участники,Тяжёлый,0,1,2016,9,23,15
2767552,Дорожно-транспортные происшествия,Наезд на пешехода,Новосибирская область,82.933549,55.043356,2022-10-11 13:40:00,Светлое время суток,Ясно,Сухое,2,"Пешеходы, Все участники",Легкий,0,1,2022,10,11,13
2644260,Дорожно-транспортные происшествия,Съезд с дороги,Республика Башкортостан,55.8954,52.94194,2021-11-06 12:00:00,Светлое время суток,Ясно,Сухое,2,Все участники,Тяжёлый,0,2,2021,11,6,12
1836789,Дорожно-транспортные происшествия,Наезд на препятствие,Республика Татарстан (Татарстан),50.043948,55.313016,2019-07-31 03:40:00,Сумерки,Пасмурно,Сухое,2,Все участники,Легкий,0,2,2019,7,31,3
1546231,Дорожно-транспортные происшествия,Наезд на пешехода,Москва,37.586709,55.770978,2017-04-03 20:25:00,"В темное время суток, освещение включено",Пасмурно,Мокрое,2,"Пешеходы, Все участники",Легкий,0,1,2017,4,3,20
2830289,Дорожно-транспортные происшествия,Столкновение,Волгоградская область,45.406644,50.080766,2023-03-27 07:25:00,Светлое время суток,Ясно,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",3,Все участники,Легкий,0,1,2023,3,27,7
2943032,Дорожно-транспортные происшествия,Столкновение,Пензенская область,44.998026,53.131504,2024-02-11 11:45:00,Светлое время суток,Ясно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части, Обработанное противогололедными материалами",2,Все участники,Легкий,0,1,2024,2,11,11
1665897,Дорожно-транспортные происшествия,Опрокидывание,Пермский край,54.879195,56.5026,2017-10-13 19:07:00,"В темное время суток, освещение включено",Ясно,"Несоответствие дорожных ограждений предъявляемым требованиям, Сухое",1,Все участники,Тяжёлый,0,1,2017,10,13,19
